companyInternationalName,companyIdentifier,primaryIndustryType,primaryIndustryCode,entityLegalForm,largeFirm,primaryCountry,primaryStateProvince,recommendedModel,financialStatementDate,currency,units,statementType,regulatoryFilingType,auditQuality,reportingPeriod,cashAndMarketableSecurities,totalAccountsReceivable,totalInventory,totalCurrentAssets,totalAccumulatedDepreciation,totalFixedAssets,totalIntangibleAssets,totalAssets,notesPayable,debtCurrentMaturities,shortTermDebt,totalAccountsPayable,totalCurrentLiabilities,totalLongTermDebt,totalNonCurrentLiabilities,totalProvisions,totalLiabilities,retainedEarnings,netWorth,netSales,totalCostOfGoodsSold,grossIncome,totalWageExpense,totalAmortizationAndDepreciation,totalOperatingExpense,totalOperatingProfit,financeCosts,profitBeforeTaxesAndExtraordinaryExpenses,currentIncomeTaxExpense,totalExtraordinaryItems,netIncome,ebitda
TEAM TOYOTA OF PRINCETON  29073,T001T29073,NAICS,4411,,,USA,NJ,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,5927.57,,7421.948,,,,,30060.189,,,,,8100.112,,,,,12138.427,,117215.896,,,,438.705,,4187.681,405.227,,,,7195.868,
TEAM TOYOTA OF PRINCETON  29073,T001T29073,NAICS,4411,,,USA,NJ,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,127637.091,,,,,,6822.714,,,,,,
COGGINS OF THE BERKSHIRES  20650,T001T20650,NAICS,4411,,,USA,MA,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,56.938,,353.919,,,,,553.687,,,,,179.504,,,,,36.789,,6792.583,,,,15.831,,41.722,26.942,,,,216.567,
COGGINS OF THE BERKSHIRES  20650,T001T20650,NAICS,4411,,,USA,MA,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,7659.556,,,,,,39.884,,,,,,
T CASTELLAW C D J RAM  41984,T001T41984,NAICS,4411,,,USA,TN,UDS 4.0,2023-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,989.967,,6253.857,,,,,7632.422,,,,,5380.921,,,,,5585.036,,34557.558,,,,-2.475,,1056.349,47.732,,,,1349.598,
T CASTELLAW C D J RAM  41984,T001T41984,NAICS,4411,,,USA,TN,UDS 4.0,2022-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,45446.323,,,,,,2187.938,,,,,,
KARL MALONE TOYOTA  03076  CHEVROLET  03801,T001T03076,NAICS,4411,,,USA,AR,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,1118.082,,3864.61,,,,,13150.917,,,,,7916.502,,,,,1728.143,,34339.102,,,,101.527,,-486.214,102.067,,,,0.0,
KARL MALONE TOYOTA  03076  CHEVROLET  03801,T001T03076,NAICS,4411,,,USA,AR,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,40080.895,,,,,,162.656,,,,,,
JIM COLEMAN TOYOTA  19045,T001T19045,NAICS,4411,,,USA,MD,UDS 4.0,2025-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,12958.105,,5127.288,,,,,30230.435,,,,,7894.795,,,,,17783.754,,129329.398,,,,603.469,,3623.588,476.702,,,,7817.398,
JIM COLEMAN TOYOTA  19045,T001T19045,NAICS,4411,,,USA,MD,UDS 4.0,2024-03-31,USD,Thousands,Consolidated,US GAAP,Audited,Annual,,,,,,,,,,,,,,,,,,,,126659.906,,,,,,5365.042,,,,,,
